,0
0,2013-07-31
1,2013-08-14
2,2013-09-23
3,2013-11-05
4,2014-01-03
5,2014-02-18
6,2014-03-06
7,2014-05-06
8,2014-05-28
9,2014-05-30
10,2014-07-16
11,2014-10-23
12,2014-11-14
13,2015-01-05
14,2015-02-13
15,2015-03-11
16,2015-05-04
17,2015-05-05
18,2015-07-15
19,2015-09-10
20,2015-10-05
21,2015-12-04
22,2016-03-15
23,2016-05-09
24,2016-05-23
25,2016-07-04
26,2016-09-01
27,2016-09-28
28,2017-01-05
29,2017-05-17
30,2017-05-22
31,2017-07-26
32,2017-12-26
33,2018-02-26
34,2018-04-18
